Region;Region_long;CF_PM2.5_chemical_DALY_per_kg;CF_SO2_chemical_DALY_per_kg;CF_NOx_chemical_DALY_per_kg;CF_NH3_chemical_DALY_per_kg;CF_PM2.5_energy_DALY_per_kg;CF_SO2_energy_DALY_per_kg;CF_NOx_energy_DALY_per_kg;CF_NH3_energy_DALY_per_kg;CF_PM2.5_agricultural_soil_DALY_per_kg;CF_SO2_agricultural_soil_DALY_per_kg;CF_NOx_agricultural_soil_DALY_per_kg;CF_NH3_agricultural_soil_DALY_per_kg;CF_PM2.5_general_DALY_per_kg;CF_SO2_general_DALY_per_kg;CF_NOx_general_DALY_per_kg;CF_NH3_general_DALY_per_kg
BRA;Brazil;0.000773184;3.56E-05;0.000106794;0.000376002;0.000375487;1.71E-05;4.03E-05;0.000222271;0.000218906;N/A;1.58E-05;0.000115349;0.000331494;2.42E-05;3.43E-05;7.10E-05
CAN;Canada;0.000180528;1.27E-05;7.26E-06;0.000170135;0.000189145;5.88E-06;9.32E-06;9.09E-05;0.000319331;N/A;8.01E-06;6.69E-05;0.000205217;8.77E-06;1.15E-05;3.51E-05
CEU;Central Europe;0.000325251;2.65E-05;2.91E-05;0.000180778;0.000343689;2.89E-05;3.37E-05;0.000173968;0.000448737;N/A;3.48E-05;0.000279455;0.000271394;2.41E-05;2.65E-05;0.000119894
CHN;China region;0.000898611;4.70E-05;4.94E-05;0.000354075;0.000699286;4.85E-05;5.38E-05;0.000480042;0.001178914;N/A;6.53E-05;0.00049637;0.000603507;4.27E-05;4.56E-05;0.000192478
EAF;Eastern Africa;N/A;7.02E-05;N/A;N/A;0.000679778;1.43E-05;1.99E-05;0.000147747;0.000438874;N/A;3.14E-05;0.000222589;0.000479774;2.41E-05;2.88E-05;0.000117913
INDIA;India;0.001361106;5.40E-05;2.86E-05;0.000134011;0.000900716;6.39E-05;1.98E-05;0.000107801;0.002280958;N/A;3.20E-05;0.000184005;0.000992865;5.52E-05;2.03E-05;8.01E-05
INDO;Indonesia region;0.002100275;0.000135322;9.21E-05;0.001407208;0.000881771;8.46E-05;0.000120539;0.000528683;0.001967074;N/A;0.000235808;0.001437114;0.001187954;7.10E-05;0.000134856;0.000653901
JAP;Japan;0.001032434;5.50E-05;0.00012684;0.000481757;0.001407798;6.81E-05;0.000144496;0.000976086;0.000742868;N/A;0.000101801;0.000796684;0.000827988;4.81E-05;8.93E-05;0.000299272
KOR;Korea region;0.000862864;4.38E-05;2.85E-05;0.000286125;0.000721065;3.90E-05;5.75E-05;0.000373196;0.000999571;N/A;6.04E-05;0.000496183;0.000526656;3.32E-05;4.26E-05;0.000231111
ME;Middle East;0.00043151;3.24E-05;3.91E-06;3.88E-05;0.000513096;2.07E-05;1.23E-05;6.09E-05;0.000577571;N/A;1.66E-05;0.000124561;0.000328608;1.60E-05;8.68E-06;5.28E-05
MEX;Mexico;0.00100154;4.36E-05;4.18E-05;0.000160605;0.000583428;2.84E-05;2.13E-05;0.000135723;0.000936633;N/A;2.51E-05;0.000176163;0.000638442;2.61E-05;2.13E-05;7.18E-05
NAF;Northern Africa;0.001980575;3.96E-05;4.20E-05;9.90E-05;0.000936423;2.72E-05;1.30E-05;2.95E-05;0.003255442;N/A;3.12E-05;0.000275248;0.000953937;3.26E-05;1.14E-05;9.74E-05
OCE;Oceania;0.000112091;1.27E-06;6.89E-06;4.76E-05;4.38E-05;3.64E-06;2.74E-06;1.62E-05;6.22E-05;N/A;1.01E-06;9.51E-06;6.33E-05;2.91E-06;2.64E-06;6.55E-06
RCAM;Central America;7.65E-05;7.43E-06;6.61E-06;4.53E-05;0.00043792;1.91E-05;2.61E-05;0.000150035;0.000353989;N/A;4.35E-05;0.000304871;0.000425346;1.64E-05;2.59E-05;0.000125439
RSAF;Rest of Southern Africa;0.00030478;1.52E-05;N/A;6.33E-05;0.000179717;1.51E-05;2.54E-05;9.23E-05;0.000334966;N/A;1.80E-05;0.00012373;0.000327902;1.38E-05;1.31E-05;5.93E-05
RSAM;Rest of South America;0.000881136;3.05E-05;1.26E-05;0.00010051;0.000257465;1.63E-05;1.81E-05;7.75E-05;0.00035843;N/A;1.22E-05;9.66E-05;0.000303715;1.40E-05;1.42E-05;4.63E-05
RSAS;Rest of South Asia;0.00193507;6.79E-05;1.76E-05;0.000229377;0.00159322;9.85E-05;6.37E-05;0.000247483;0.002607291;N/A;5.37E-05;0.000311098;0.00106325;7.04E-05;4.07E-05;0.00012642
RUS;Russia region;0.000274375;2.07E-05;2.46E-05;0.000182159;0.000219928;1.18E-05;2.52E-05;0.000134395;0.000173712;N/A;1.43E-05;0.000125932;0.000191105;1.02E-05;1.75E-05;6.18E-05
SAF;South Africa;0.000287626;1.45E-05;1.09E-05;8.77E-05;0.000200141;1.54E-05;8.35E-06;6.04E-05;0.000463207;N/A;9.58E-06;7.80E-05;0.000238686;1.23E-05;8.94E-06;4.05E-05
SEAS;Southeast Asia;0.001147363;4.97E-05;7.60E-05;0.000510564;0.000625403;5.38E-05;6.61E-05;0.000267725;0.000955127;N/A;5.56E-05;0.000382082;0.000623473;4.24E-05;5.22E-05;0.000188302
STAN;Central Asia;0.000411932;1.65E-05;2.35E-05;0.000118811;0.00012441;5.37E-06;1.01E-05;8.69E-05;0.000165643;N/A;1.53E-05;0.000112906;0.000156834;5.47E-06;1.04E-05;5.33E-05
TUR;Turkey;0.00065013;2.94E-05;4.99E-05;0.000189057;0.000492444;3.50E-05;3.53E-05;0.000203867;0.000639082;N/A;2.63E-05;0.000188517;0.000507114;2.68E-05;2.65E-05;8.56E-05
UKR;Ukraine region;0.000352707;2.14E-05;2.56E-05;0.000146157;0.000331282;2.45E-05;2.74E-05;0.000126521;0.00037055;N/A;2.39E-05;0.000198109;0.000221964;1.91E-05;1.93E-05;8.74E-05
USA;USA;0.000212365;2.13E-05;8.10E-06;8.39E-05;0.00022864;1.96E-05;1.65E-05;0.000110366;0.000295718;N/A;1.18E-05;9.81E-05;0.000250143;1.49E-05;1.33E-05;4.52E-05
WAF;Western Africa;0.001346608;3.92E-05;8.17E-05;0.000388298;0.000605633;2.27E-05;2.71E-05;0.000106075;0.000716531;N/A;1.87E-05;0.000127224;0.000638929;2.94E-05;2.36E-05;9.78E-05
WEU;Western Europe;0.000549723;4.39E-05;5.93E-05;0.000319412;0.000535232;3.73E-05;5.10E-05;0.000275207;0.000639182;N/A;5.18E-05;0.00046629;0.000396265;2.84E-05;3.72E-05;0.000191248
GLOBAL;Global;0.000999739;4.46E-05;3.62E-05;0.000264046;0.000764079;4.16E-05;3.86E-05;0.000224265;0.001418335;N/A;3.87E-05;0.000288545;0.000597695;3.36E-05;2.92E-05;0.000133435
